Name,team,innings,runs,balls,wickets,extras,average,strike_rate,economy,wicket_hauls
TA Boult,New Zealand,9,420,503,15,20,29.26455026,37.44444444,5.031440429,0
MJ Henry,New Zealand,7,317,332,11,8,32.72222222,32.25,5.702409926,0
MJ Santner,New Zealand,9,399,501,16,6,23.71111111,34.24691358,4.899798223,1
JDS Neesham,New Zealand,3,157,89,2,4,33.66666667,15,12.06060606,0
R Ravindra,New Zealand,8,334,354,5,3,48.84375,49.140625,5.949756436,0
GD Phillips,New Zealand,9,201,214,6,5,10.38888889,11.94444444,5.511022506,0
CR Woakes,England,7,275,304,10,16,13.35714286,17.79761905,5.731364688,1
SM Curran,England,3,142,110,2,8,48,42,8.142580532,0
MA Wood,England,7,351,332,6,10,24.5,33.45238095,6.748262586,0
MM Ali,England,5,193,196,4,5,2.15,2.5,6.142714286,1
AU Rashid,England,8,361,420,14,5,19.90104167,25.98697917,5.472515892,1
LS Livingstone,England,6,162,174,3,4,19.77777778,27.66666667,6.147222222,0
A Dutt,Netherlands,8,378,433,11,18,34.80208333,40.70659722,5.26819626,0
LV van Beek,Netherlands,7,372,389,12,31,28.57142857,33.75,5.580017333,1
CN Ackermann,Netherlands,8,209,267,7,1,18.95833333,24.33333333,4.803475877,0
PA van Meekeren,Netherlands,8,367,402,11,31,32.6640625,35.59635417,5.52405687,1
BFW de Leede,Netherlands,7,405,354,14,12,32.0952381,29.57142857,6.825100677,1
RE van der Merwe,Netherlands,7,262,279,6,7,21.33333333,22.16666667,5.932119551,0
Vikramjit Singh,Netherlands,3,52,43,0,1,0,0,7.826666667,0
Saqib Zulfiqar,Netherlands,2,40,31,1,1,12.5,9.5,7.697368421,0
Shaheen Shah Afridi,Pakistan,8,416,448,16,29,30.72857143,33.53809524,5.534754618,1
Hasan Ali,Pakistan,6,326,321,9,21,36.38888889,37.33333333,6.00207813,1
Haris Rauf,Pakistan,8,476,429,13,22,32.47395833,28.9296875,6.669636104,0
Iftikhar Ahmed,Pakistan,7,226,250,3,10,25.57142857,28.28571429,5.604498747,0
Mohammad Nawaz,Pakistan,5,225,227,3,2,39.75,37.5,5.905548184,0
Shadab Khan,Pakistan,4,180,169,2,1,50,48.5,6.56505102,0
Taskin Ahmed,Bangladesh,6,247,278,4,11,32.375,35,5.456305947,0
Shoriful Islam,Bangladesh,8,415,399,11,17,29.57638889,26.64930556,6.214513121,0
Mustafizur Rahman,Bangladesh,7,325,343,5,10,23.55555556,35.5,5.661585,0
Shakib Al Hasan,Bangladesh,7,329,377,9,2,42.12857143,47.48571429,5.235224611,0
Mehedi Hasan Miraz,Bangladesh,8,355,401,10,9,22.5,30.975,5.421889415,0
Mahmudullah,Bangladesh,3,33,31,0,1,0,0,6.438596491,0
Fazalhaq Farooqi,Afghanistan,6,230,249,7,11,20.41666667,23.26666667,5.707411957,1
Mujeeb Ur Rahman,Afghanistan,9,461,500,9,22,22.42857143,27.4973545,5.607876655,0
Naveen-ul-Haq,Afghanistan,8,368,332,9,26,33.57142857,32,6.715983875,0
Rashid Khan,Afghanistan,9,394,531,13,22,20.79475309,26.83564815,4.521291715,0
Mohammad Nabi,Afghanistan,9,256,372,11,5,8.886243386,17.46243386,4.87611836,1
Azmatullah Omarzai,Afghanistan,9,271,235,7,8,23.95833333,22.15625,6.720385248,0
CAK Rajitha,Sri Lanka,6,342,306,10,19,40.9,37.6,7.143538726,1
D Madushanka,Sri Lanka,9,527,496,21,28,22.86458333,22.290625,6.484366101,2
MD Shanaka,Sri Lanka,2,64,66,0,0,0,0,5.8,0
DM de Silva,Sri Lanka,8,174,154,0,4,0,0,7.312361111,0
M Pathirana,Sri Lanka,2,186,128,2,32,93,64,8.716483516,0
DN Wellalage,Sri Lanka,3,196,178,2,2,71.66666667,60,6.572427035,0
L Ngidi,South Africa,8,368,387,10,41,36.4875,39.3125,5.594271927,0
M Jansen,South Africa,8,429,425,17,59,30.97916667,28.35416667,6.015438053,0
K Rabada,South Africa,8,330,411,13,17,29.10416667,36.70833333,4.817649962,0
KA Maharaj,South Africa,9,346,482,14,12,25.06666667,36.92222222,5.164055206,1
G Coetzee,South Africa,7,358,337,18,23,24.16666667,22.04761905,6.593401175,1
JJ Bumrah,India,8,236,398,15,18,17.45238095,29.58333333,3.39216844,1
Mohammed Siraj,India,8,329,376,10,25,25.275,35.01666667,5.006098889,0
HH Pandya,India,4,115,101,5,5,22.5,19.33333333,9.284090909,0
R Ashwin,India,1,34,60,1,0,34,60,3.4,0
Kuldeep Yadav,India,8,274,395,12,7,26.03125,36.42708333,3.676985596,0
RA Jadeja,India,8,248,388,14,6,12.7,22.646875,4.04623112,1
MA Starc,Australia,8,447,436,12,50,44.54166667,41.72916667,6.041727626,0
JR Hazlewood,Australia,8,367,421,13,23,31.1875,34.5625,5.200523753,0
PJ Cummins,Australia,8,381,378,10,14,27.21428571,26.21428571,5.859981939,0
GJ Maxwell,Australia,6,263,319,5,7,31.77777778,39.94444444,5.174646617,0
C Green,Australia,1,11,12,0,0,0,0,5.5,0
A Zampa,Australia,8,387,422,20,12,23.4375,24.48958333,5.296085515,3
R Klein,Netherlands,1,41,43,0,3,0,0,5.720930233,0
LH Ferguson,New Zealand,6,238,283,10,9,14.30555556,17.63888889,5.86942991,0
Mahedi Hasan,Bangladesh,2,115,91,7,6,16.20833333,13.16666667,7.507267442,1
RJW Topley,England,3,187,174,9,12,22.47222222,20.83333333,6.48245614,1
M Theekshana,Sri Lanka,8,392,441,9,29,38.3125,43.0625,5.385288413,0
KIC Asalanka,Sri Lanka,1,10,6,0,0,0,0,10,0
SN Thakur,India,3,102,104,2,2,40.33333333,43.33333333,5.816764133,0
MR Marsh,Australia,3,43,46,2,4,4.75,6.75,6.176638177,0
MP Stoinis,Australia,5,101,87,3,6,13.625,10.125,5.990909091,0
T Shamsi,South Africa,3,170,178,7,11,35.33333333,35.75,5.63943024,1
DJ Mitchell,New Zealand,2,12,9,0,0,0,0,6.5,0
JE Root,England,2,67,61,1,0,19,24,6.266891892,0
CBRLS Kumara,Sri Lanka,2,82,66,3,0,5.833333333,7,8.375,0
C Karunaratne,Sri Lanka,2,78,80,0,17,0,0,5.4,0
V Kohli,India,1,2,3,0,0,0,0,4,0
Nasum Ahmed,Bangladesh,2,87,87,0,0,0,0,5.857894737,0
Hasan Mahmud,Bangladesh,2,132,88,3,4,49.25,34.75,9.255961844,0
Usama Mir,Pakistan,4,249,217,4,8,63.25,49.375,6.845189715,0
MADI Hemantha,Sri Lanka,2,94,97,0,1,0,0,5.808673469,0
DJ Willey,England,5,206,252,8,9,17.7,23.5,4.871530168,0
AAP Atkinson,England,2,103,98,2,4,30,27.5,6.272727273,0
Mohammed Shami,India,4,118,159,16,9,7.033333333,9.875,4.255,3
Noor Ahmad,Afghanistan,4,184,240,5,20,15.91666667,25.08333333,4.591942656,0
LB Williams,South Africa,1,58,57,2,8,29,28.5,6.105263158,0
AD Mathews,Sri Lanka,5,113,135,7,8,10.33333333,15.06666667,5.055636364,0
AK Markram,South Africa,3,62,64,0,1,0,0,6.133903134,0
Mohammad Wasim,Pakistan,3,151,175,8,21,19.72222222,22.94444444,5.092970522,0
Shariz Ahmad,Netherlands,1,13,12,0,0,0,0,6.5,0
PVD Chameera,Sri Lanka,4,201,190,2,7,32,28.5,6.156071429,0
Nazmul Hossain Shanto,Bangladesh,1,5,6,0,0,0,0,5,0
TG Southee,New Zealand,3,157,139,4,2,39.5,36.16666667,6.557923497,0
Agha Salman,Pakistan,1,21,13,0,1,0,0,9.692307692,0
IS Sodhi,New Zealand,1,44,25,0,1,0,0,10.56,0
TM Head,Australia,2,43,48,0,0,0,0,5.3,0
Tanzim Hasan Sakib,Bangladesh,1,81,62,3,3,27,20.66666667,7.838709677,0
AL Phehlukwayo,South Africa,1,37,42,1,1,37,42,5.285714286,0
Rahmat Shah,Afghanistan,1,12,6,0,0,0,0,12,0
