sn,Winner,Team 1 Position,Team 2 Position,Team 1_Afghanistan,Team 1_Australia,Team 1_Bangladesh,Team 1_England,Team 1_India,Team 1_Netherlands,Team 1_New Zealand,Team 1_Pakistan,Team 1_South Africa,Team 1_Sri Lanka,Team 2_Afghanistan,Team 2_Australia,Team 2_Bangladesh,Team 2_England,Team 2_India,Team 2_Netherlands,Team 2_New Zealand,Team 2_Pakistan,Team 2_South Africa,Team 2_Sri Lanka
0,Bangladesh,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Sri Lanka,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Afghanistan,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Afghanistan,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Sri Lanka,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Sri Lanka,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6,Sri Lanka,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7,Afghanistan,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,New Zealand,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,Pakistan,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,Pakistan,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,Pakistan,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12,Pakistan,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,South Africa,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14,South Africa,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Australia,10,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Australia,10,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,India,10,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Bangladesh,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
