date,name,team,average,strike_rate,economy,wickets
05-10-2023,TA Boult,New Zealand,29.26455026,37.44444444,5.031440429,1
05-10-2023,MJ Henry,New Zealand,32.72222222,32.25,5.702409926,3
05-10-2023,MJ Santner,New Zealand,23.71111111,34.24691358,4.899798223,2
05-10-2023,JDS Neesham,New Zealand,33.66666667,15,12.06060606,0
05-10-2023,R Ravindra,New Zealand,48.84375,49.140625,5.949756436,1
05-10-2023,GD Phillips,New Zealand,10.38888889,11.94444444,5.511022506,2
05-10-2023,CR Woakes,England,13.35714286,17.79761905,5.731364688,0
05-10-2023,SM Curran,England,48,42,8.142580532,1
05-10-2023,MA Wood,England,24.5,33.45238095,6.748262586,0
05-10-2023,MM Ali,England,2.15,2.5,6.142714286,0
05-10-2023,AU Rashid,England,19.90104167,25.98697917,5.472515892,0
05-10-2023,LS Livingstone,England,19.77777778,27.66666667,6.147222222,0
06-10-2023,A Dutt,Netherlands,34.80208333,40.70659722,5.26819626,1
06-10-2023,LV van Beek,Netherlands,28.57142857,33.75,5.580017333,1
06-10-2023,CN Ackermann,Netherlands,18.95833333,24.33333333,4.803475877,3
06-10-2023,PA van Meekeren,Netherlands,32.6640625,35.59635417,5.52405687,1
06-10-2023,BFW de Leede,Netherlands,32.0952381,29.57142857,6.825100677,4
06-10-2023,RE van der Merwe,Netherlands,21.33333333,22.16666667,5.932119551,0
06-10-2023,Vikramjit Singh,Netherlands,0,0,7.826666667,0
06-10-2023,Saqib Zulfiqar,Netherlands,12.5,9.5,7.697368421,0
06-10-2023,Shaheen Shah Afridi,Pakistan,30.72857143,33.53809524,5.534754618,1
06-10-2023,Hasan Ali,Pakistan,36.38888889,37.33333333,6.00207813,2
06-10-2023,Haris Rauf,Pakistan,32.47395833,28.9296875,6.669636104,3
06-10-2023,Iftikhar Ahmed,Pakistan,25.57142857,28.28571429,5.604498747,1
06-10-2023,Mohammad Nawaz,Pakistan,39.75,37.5,5.905548184,2
06-10-2023,Shadab Khan,Pakistan,50,48.5,6.56505102,1
